IUCA,Texto Consulta Usuario
29,¿Existe una alícuota diferencial en los servicios públicos para los Monotributistas?
29,¿Resulta aplicable la alícuota del 27% para las prestaciones de servicios públicos recibidas por los monotributistas?
29,¿Se aplica  la alícuota del 27% en las facturas de servicios públicos a los Monotributistas?
29,La alícuota del 27% en los servicios públicos ¿se aplica para los monotributistas?
29,"Si soy monotributista, ¿se me aplica la alicuota del 27 porciento en los servicios públicos?"
86,¿Cuándo se producen efectos de la recategorización de oficio?
86,¿Desde qué fecha tienen vigencia mi nueva categoría en caso de recategorización de oficio?
86,¿En qué momento se producen cambios de la recategorización de oficio?
86,¿En qué tiempo se producen efectos de la recategorización de oficio?
86,"¿La fecha de entrada en vigencia de mi nueva categoría, a raíz de una recategorización de oficio, es la misma que si yo me hubiera recategorizado correctamente?"
86,"Si me recategorizan de oficio, ¿A partir de cuándo paso a la nueva categoría?"
50,¿Cuándo puedo llamarme monotributista si realizo la inscripción hoy?
50,¿Desde cuándo soy Monotributista?
50,¿El alta del Monotributo depende del día o del mes en que lo haga?
50,¿Puedo inscribirme en el Monotributo hoy pero darle inicio el mes que viene?
50,¿Puedo inscribirme en el Monotributo retroactivamente?
50,¿Si me adhiero al monotributo ya soy monotributista?
50,¿Soy Monotributista desde el día en que me inscribo?
50,"Una vez inscripto, ¿ya tiene efecto el monotributo?"
8,¿Cuándo se refleja en el sistema la baja del monotributo por exclusión?
8,¿Desde cuándo tiene vigencia la baja del Monotributo por exclusión?
8,¿Desde qué momento se hace efectiva la baja por exclusión?
8,Si me excluyen del Monotributo ¿Desde cuándo comienza a tener vigencia?
8,Si me excluyen del Monotributo ¿Hasta qué fecha sigo siendo Monotributista?
6,¿Cuándo se refleja en el sistema la baja del monotributo?
6,¿Cuándo tendrá efecto la solicitud de baja por cese de actividad?
6,¿Desde cuándo tiene vigencia la baja del Monotributo?
6,Si me doy de baja del Monotributo ¿Desde cuándo comienza a correr?
6,Si me doy de baja del Monotributo ¿Hasta qué fecha sigo siendo Monotributista?
137,¿A partir de qué fecha se puede encontrar información en el servicio CCMA?
137,¿A partir de qué período encuentro información en el servicio CCMA?
137,¿Aparece toda la información en el servicio CCMA?
137,¿Desde qué fecha es la información que figura en el servicio CCMA?
137,¿Desde qué período está la información en el CCMA?
39,¿Puede alguien nacido en el exterior solicitar el monotributo sin tener DNI?
39,¿Puedo inscribirme en el monotributo siendo extranjero? ¿Qué debería presentar si no poseo DNI?
39,"¿Qué documentación debo presentar si soy extranjero y no tengo DNI?"
39,¿Un extranjero puede solicitar el CUIT para monotributo? ¿Y si no tiene DNI?
39,"Si soy extranjero y no poseo DNI ¿Puedo inscribirme en el Monotributo?"
39,"Soy extranjero, llevo viviendo mucho tiempo acá pero no tengo DNI, ¿cómo debo proceder para inscribirme en el monotributo? ¿Se puede?"
133,¿Cómo tienen que hacer el pago del año los adheridos al régimen de inclusión social?
133,¿De qué forma deben realizar el pago anual las personas del Régimen de Inclusión Social y Promoción del Trabajo Independiente?
133,"Las personas que están en el Régimen de Inclusión social y promoción del trabajo, ¿cómo deben realizar el pago anual?"
133,Si estoy adherido al Régimen de Inclusión Social y Promoción del Trabajo Independiente ¿Cómo es el pago anual que tengo que hacer?
133,Si estoy adherido al Régimen de Inclusión Social y Promoción del Trabajo Independiente ¿Cómo puedo pagar anualmente?
140,¿Cómo notifico una diferencia con el sistema?
140,¿Cómo reclamo la discrepancia con el sistema?
140,¿Dónde puedo reclamar una diferencia existente en el sistema?
140,"Noto una discrepancia con el sistema, ¿Qué hago?"
140,"Si pagué de más el Monotributo ¿Puedo hacer el reclamo?"
140,"Tengo una diferencia con el sistema, ¿Cómo la comunico?"
87,¿Cuál es el procedimiento a seguir  en caso de no estar conforme con la recategorización de oficio?
87,¿Cuál es el trámite a seguir para el caso de disconformidad con la recategorización de oficio?
87,¿Cuál es el trámite para expresar mi disconformidad con la recategorización de oficio?
87,¿Puedo hacer un reclamo ante una recategorización de oficio?
87,¿Qué puedo hacer si no estoy de acuerdo con la recategorización de oficio?
87,¿Qué trámite se debe efectuar para el caso  de disconformidad con la recategorización de oficio?
87,"Para el caso de disconformidad con la recategorización de oficio, ¿Cuáles son los procedimientos a seguir?"
42,¿Cómo puedo demostrar que mi domicilio fiscal es diferente al de mi DNI?
42,¿Debo hacer algún trámite para demostrar mi domicilio fiscal cuando no es el lugar donde vivo?
42,¿Qué documentación puedo presentar para demostrar mi domicilio fiscal?
42,"Si mi domicilio fiscal no es el lugar donde vivo, ¿qué tramites debo hacer para acreditarlo?"
42,Si mi domicilio fiscal no es el que figura en el DNI ¿Qué debo hacer?
