IUCA,Texto Consulta AFIP
0,"Si se deja de ejercer la actividad pero dentro de unos meses se volverá a trabajar en la misma, ¿se puede mantener la inscripción en forma suspendida hasta tanto vuelva a tener actividad?"
1,¿En qué situaciones se producirá la exclusión del Monotributo?
2,¿Cómo se tramita la baja del Monotributo?
3,"Si se realiza la baja del Monotributo por cese de actividad, ¿se puede volver a adherir en cualquier momento?"
4,"En caso de exclusión, ¿Cuánto tiempo se debe de aguardar para volver a adherirse al Monotributo?"
5,En los casos de baja por renuncia ¿Cuánto tiempo se deberá esperar para volver al Régimen de Monotributo?
6,¿A partir de qué momento tiene efectos la cancelación de la inscripción por cese de actividad o renuncia?
7,"¿En qué casos se produce la baja automática en el Monotributo?, de producirse, ¿se puede realizar la adhesión nuevamente?"
8,¿A partir de qué momento tiene efectos la baja por exclusión?
9,"Un monotributista que adquiere el carácter de responsable inscripto en el IVA, ¿puede computar el crédito de sus existencias al momento del cambio de su condición?"
10,¿Es posible realizar una baja retroactiva en el Monotributo?
11,¿Cuáles son las categorías e importes a pagar?
12,¿Qué conceptos componen el Monotributo?
13,¿Quiénes se encuentran exceptuados de ingresar las cotizaciones previsionales fijas?
14,¿En qué categoría debo encuadrarme si inicio una actividad y opto por adherirme al Régimen Simplificado?
15,¿Qué se entiende por ingresos brutos?
16,¿cómo se debe categorizar si se realiza más de una actividad?
17,"Siendo un empleado en relación de dependencia, que se inscribe en el Monotributo, ¿qué ingresos debe de computar para categorizarse?"
18,"¿En qué casos no se tendrá en cuenta el parámetro ""energía eléctrica""?"
19,"¿En qué casos no se tendrá en cuenta el parámetro ""superficie afectada""?"
20,"De realizar más de una actividad como monotributista, ¿cómo se determina cual es la principal?"
21,"Si se desarrolla la actividad en el hogar, ¿cómo se computa la superficie y el consumo eléctrico a los fines de la categorización?"
22,"Si se prestan servicios sin poseer un domicilio fijo ó se prestan servicios a domicilio, ¿qué parámetros deberán considerarse para la categorización?"
23,¿Existe una cantidad máxima de empleados por categoría?
24,"A los efectos de determinar los alquileres devengados, ¿se debe tener en cuenta los gastos correspondientes a gas, luz, y teléfono?"
25,"Una persona que realiza una actividad independiente por la que reviste la condición de Monotributista y a su vez ejerce la dirección, administración o conducción de sociedades no comprendidas en el Régimen Simplificado o comprendidas y no adheridas al mismo, ¿Debe aportar al régimen de autónomos y simultáneamente las cotizaciones previsionales del Monotributo?"
26,"En caso de brindar servicios de carpintería que implica fabricar un bien mueble, pero no en serie. ¿Debe categorizarse como venta de cosa mueble?"
27,¿Cuál es el precio máximo unitario de venta?
28,"Siendo monotributista, ¿puedo realizar importaciones?"
29,¿A los monotributistas se les aplica la alícuota diferencial del 27% de IVA en las facturas de servicios públicos?
30,¿Qué se entiende por unidad de explotación? ¿y por actividad económica?
31,"Ante el cambio de condición de responsable inscripto a monotributista, ¿se deben prorratear las deducciones personales por cargas de familia a los efectos de generar la declaración jurada del Impuesto a las Ganancias?"
32,"Un comerciante responsable inscripto en IVA que está en condiciones de optar por el Monotributo, ¿debe reintegrar el crédito fiscal de las existencias de los bienes?"
33,"¿Cuál es la diferencia entre un responsable inscripto en el impuesto al Valor Agregado y un Monotributista, a los efectos de la generación de débito fiscal?"
34,"En caso de incorporar una actividad en el Monotributo, y continuar desarrollando otra actividad por el régimen general, ¿cómo se deben determinar los anticipos del Impuesto a las Ganancias?"
35,¿Es personal el trámite de generación de CUIT?
36,¿En qué dependencia se debe solicitar la CUIT?
37,¿Qué documentación deberán presentar las personas humanas para tramitar el número de CUIT en caso de optar por realizar el trámite de forma presencial?
38,¿Las sociedades pueden adherirse al monotributo?
39,¿Cómo debe proceder un extranjero que no posee D.N.I. para inscribirse en el Monotributo?
40,Un sujeto adherido al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?
41,¿Cuál es el domicilio fiscal de una persona humana?
42,¿Cómo puede acreditarse el domicilio fiscal cuando coincida con el domicilio del DNI y no se registren constancias del mismo?
43,Pasos para adherirse mediante el portal de Monotributo.
44,¿Quiénes se encuentra exceptuados de constituir el domicilio fiscal electrónico?
45,¿Cuáles son los pasos para inscribir a los condóminos como Monotributistas?
46,¿Cómo se declara la actividad económica?
47,¿Cuál es el tratamiento aplicable a los condominios?
48,"¿Cuál de las opciones de ""Aporte de jubilación"" corresponde seleccionar?"
49,"Si por el tipo de actividad no se deben considerar determinados parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario, ¿cómo se deben completar los campos correspondientes a cada parámetro al momento de realizar la adhesión o recategorización al Monotributo?"
50,¿A partir de cuándo tiene efectos la adhesión por el monotributo?
51,¿Cuál será el componente que deberán ingresar las sucesiones indivisas adheridas al Monotributo?
52,¿Cómo se realiza la adhesión en el caso de asociados a Cooperativas de Trabajo?
53,¿Cuándo se debe realizar el primer pago en caso de inicio de actividades?
54,¿Cómo se reimprime la credencial de pago?
55,"¿Qué es el CUR?"
56,"¿Cómo se informa el cambio de condición de ""Responsable Inscripto"" a ""Monotributista"" (persona humana)?"
57,"En el caso de haber sido Responsable Inscripto, y poseer saldo a favor en el Impuesto a las Ganancias por haber sufrido retenciones, al momento de ingresar al Régimen de Monotributo, ¿Cuál es el tratamiento de dicho saldo a favor?"
58,"¿Qué trámites se podrán realizar a través del portal ""Monotributo""?"
59,¿Una persona humana puede ser monotributista si obtiene ingresos provenientes de la locación de inmuebles situados en el exterior?
60,¿Cuáles son las modificaciones de datos que implican una sustitución de la credencial para el pago?
61,¿Cómo se realiza la baja de un integrante de la Obra Social?
62,¿Cómo se realiza el cambio de actividad?
63,¿Cómo se modifica la situación frente al Monotributo en caso de haber comenzado a trabajar en relación de dependencia?
64,¿Cómo se modifica la situación frente al Monotributo en caso de haberse jubilado y continuar con la actividad?
65,¿Cómo se modifica la situación frente al Monotributo en caso de realizar aportes obligatorios a una caja previsional provincial?
66,¿Cómo se realiza el cambio de obra social?
67,¿Cómo se agrega a un adherente a la obra social?
68,¿Cómo se realiza el cambio de domicilio?
69,"¿Cómo se debe proceder si pasados los 30 días de haber realizado el cambio del domicilio mediante el servicio ""Sistema Registral"", no se recibe el código de confirmación?"
70,¿Cómo se realiza la recategorización?
71,¿Qué es la recategorización?
72,¿Cuando debe realizarse la recategorización?
73,"Si transcurrió un semestre desde la inscripción y al anualizar los ingresos brutos para la recategorización, se supera el límite de la categoría máxima, ¿corresponde la inscripción en el Régimen General?"
74,¿Dónde podrá consultar el monotributista si tiene inconsistencias?
75,¿Cuáles son los parámetros a considerar en la recategorización?
76,"Si no transcurrieron 12 meses desde el inicio de actividad, ¿cómo se debe de realizar el cálculo a los efectos de la recategorización?"
77,"Una vez realizada la recategorización, ¿Cuándo se empieza a pagar el importe de la nueva categoría?"
78,¿En qué casos los monotributistas no se encuentran obligados a realizar la recategorización?
79,¿Cuál es la sanción y el procedimiento a seguir en caso que la recategorización efectuada sea inexacta?
80,"Si por el tipo de actividad no se deben considerar determinados parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario, ¿cómo se deben completar los campos correspondientes a cada parámetro al momento de realizar la adhesión o recategorización al Monotributo?"
81,Si modifica la condición de Monotributo a Monotributo Régimen de inclusión social y promoción del trabajo independiente o viceversa ¿se considera recategorización?
82,¿En qué casos procederá la recategorización de oficio?
83,¿Qué parámetros se aplicarán para determinar la recategorización de oficio?
84,¿Cómo se notifica la recategorización de oficio cuando sea por controles sistémicos?
85,¿Dónde se podrán consultar los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?
86,¿A partir de cuándo produce efectos la recategorización de oficio?
87,¿Cómo proceder en caso de disconformidad con la recategorización de oficio?
88,¿Qué se deberá considerar ante una recategorización por fiscalización presencial?
89,"¿Se puede interponer un recurso contra las resoluciones de exclusión o recategorización de oficio resultado de una fiscalización?"
90,¿Quiénes pueden ser monotributistas?
91,¿Cuáles son los requisitos para poder inscribirse en el Régimen de Monotributo?
92,¿Qué actividades se encuentran excluidas del monotributo?
93,En caso de realizar importaciones ¿se puede adherir al Monotributo?
94,¿Se pueden realizar exportaciones siendo monotributista?
95,Un sujeto adherido al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?
96,¿Se puede ser empleador siendo monotributista?
97,¿Se puede realizar la adhesión al Monotributo en caso de llevarse a cabo una actividad por única vez? ¿Se debe cumplir un tiempo mínimo de permanencia antes de realizar la baja del mismo?
98,"Una persona humana residente en el exterior que realiza una actividad en nuestro país, ¿puede inscribirse a través de su apoderado en nuestro país como monotributista?"
99,Si un ciudadano trabaja relación de dependencia ¿se puede adherir al monotributo por una actividad independiente?
100,"Una persona humana adherida al Monotributo por una actividad, ¿puede realizar otra actividad bajo la condición de responsable inscripto?"
101,"En los casos de venta de automóviles usados a nombre propio por cuenta de terceros, ¿Se podrá optar por el Monotributo?"
102,"El propietario de una industria, ¿se puede adherir al Monotributo?"
103,"El asociado a una cooperativa de trabajo, ¿se puede adherir al monotributo?"
104,"El síndico de una sociedad, ¿se puede adherir al monotributo por dicha actividad?"
105,¿Se puede ser monotributista si se obtiene unicamente ingresos por cobro de derechos de autor?
106,"En caso de arrendar 5 parcelas (las mismas tienen asignados números de partidas diferentes aunque se encuentran ubicadas en el mismo partido), a los fines de la exclusión en el Monotributo, ¿se consideran más de tres unidades de explotación?"
107,"Un contribuyente que obtiene ingresos como monotributista y le corresponde presentar el Impuesto sobre los Bienes Personales, ¿Cómo debe generar la declaración jurada?"
108,"Un monotributista que tiene un local y desea abrir otro en el que realice tres actividades, ¿Puede permanecer en el Monotributo o queda excluido por exceder las tres actividades?"
109,¿En qué casos deberá presentar un monotributista la declaración jurada del impuesto a las ganancias?
110,"Un contribuyente que reviste la condición de responsable inscripto en IVA y está en condiciones de adherir por el Monotributo, ¿Puede optar por cambiar de régimen en cualquier momento?"
111,"Una persona que inicia actividad inscribiéndose en el Monotributo, que a la finalización del semestre calendario, por aplicación de la anualización de sus ingresos, supera el máximo previsto por el régimen. ¿Cuándo debe pasar a responsable inscripto en IVA?"
112,Un sujeto adherido al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?
113,"Un propietario que cede un inmueble a precio no determinado, ¿puede adherirse al Monotributo por el valor locativo a que refiere el Impuesto a las Ganancias?"
114,¿Cuáles son los pasos para inscribir a los condóminos como Monotributistas?
115,¿Cuál es el tratamiento aplicable a los condominios?
116,"¿Qué contribuyentes monotributistas se encuentran exceptuados de cumplir sus obligaciones mediante la modalidades de pago por transferencia electrónica de fondos, debito y/ó pago electrónico?"
117,¿Mediante qué formulario se podrá realizar el pago mensual en efectivo?
118,¿Cuándo se debe abonar la primera cuota en caso de adhesión al Monotributo?
119,¿Cómo se deben ingresar los pagos de diferencias de monotributo?
120,¿Cómo se deberá proceder para abonar los intereses generados por el pago fuera de término de la obligación mensual?
121,¿Cuál es la fecha de vencimiento de la obligación?
122,¿Cuáles son las formas de abonar el Monotributo?
123,¿Cómo se adhiere el pago del Monotributo al débito automático en la cuenta bancaria?
124,¿Cómo se adhiere el pago del Monotributo al débito automático en la tarjeta de crédito?
125,"El pago de la obligación mensual realizado fuera de término, ¿genera intereses?"
126,¿Cuáles son las entidades bancarias habilitadas para el pago del VEP?
127,¿Cómo se deben pagar las cargas sociales de los empleados?
128,¿Cómo se puede acceder al reintegro del componente impositivo?
129,"Respecto del componente previsional (jubilación y obra social), ¿se puede abonar solo uno de dichos conceptos y excluir del pago el otro?"
