IUCA,Texto Respuesta AFIP
0,"La suspensión de la inscripción no está prevista en la normativa. Por lo tanto, una vez finalizada la actividad debe solicitar la baja. En tal situación, los contribuyentes podrán optar, en cualquier momento, por su adhesión al régimen.

Fuente: CIT AFIP"
1,"Quedará excluido cuando:
a) La suma de los ingresos brutos obtenidos de las actividades incluidas, en los últimos doce meses inmediatos anteriores a la obtención de cada nuevo ingreso bruto -considerando al mismo- exceda el límite máximo establecido.
b) Los parámetros físicos o el monto de los alquileres devengados superen los máximos establecidos.
c) El precio máximo unitario de venta, en el caso de contribuyentes que efectúen venta de cosas muebles, supere $ 19.269,14
d) Adquieran bienes o realicen gastos, de índole personal, por un valor incompatible con los ingresos declarados y en tanto aquellos no se encuentren debidamente justificados por el contribuyente,
e) Registren depósitos bancarios, debidamente depurados, por un importe igual o superior al monto de los ingresos brutos anuales máximos admitidos para la categoría en la cual estén encuadrados,
f) Hayan perdido su calidad de Monotributistas o hayan realizado importaciones de cosas muebles y/o de servicios para su posterior comercialización, durante los últimos 12 meses del año calendario,
g) Realicen más de tres actividades simultáneas o posean más de tres unidades de explotación,
h) Realizando locaciones y/o prestaciones de servicios, se hubieran categorizado como si realizaran venta de cosas muebles,
i) Sus operaciones no se encuentren respaldadas por las respectivas facturas o documentos equivalentes correspondientes a las compras, locaciones o prestaciones aplicadas a la actividad, o a sus ventas, locaciones y/o prestaciones de servicios,
j) El importe de las compras más los gastos inherentes al desarrollo de la actividad de que se trate, efectuados durante los últimos doce meses, totalicen una suma igual o superior al 80% de los ingresos brutos máximos establecidos para la categoría K en el caso de venta de productos, ó al 40% de los ingresos brutos establecidos para la categoría H cuando se trate de prestación de servicios.
k) Resulte incluido en el Registro Público de Empleadores con Sanciones Laborales (REPSAL) desde que adquiera firmeza la sanción aplicada en su condición de reincidente.
Del total de compras se detraerán los importes correspondientes a las adquisiciones de bienes que tengan para el pequeño contribuyente el carácter de bienes de uso, respecto de las cuales se demuestre que han sido pagadas con ingresos adicionales a los obtenidos por las actividades incluidas en el Régimen de Monotributo, que resulten compatibles con el mismo.


Fuente: Art. 20 Ley 26.565"
2,"Para solicitar la baja deberá:
1. Acceder al portal Monotributo.
2. Presionar el botón ""Comenzar"".
3. Acceder con CUIT y clave fiscal.
4. Ingresar en el ítem ""Datos del Monotributo"".
5. Seleccionar el botón ""Dar de Baja"" y luego el botón ""Darme de baja"".
6. En la siguiente pantalla visualizará, dependiendo del caso en particular, los siguientes códigos de impuestos 020 (Monotributo), código 21 (Monotributo - autónomo), debiendo de informar el período (mes - año) y el motivo de baja (renuncia, exclusión ó cese de actividades).
7. El sistema emitirá el acuse de recibo correspondiente a la baja informada.

Fuente: CIT AFIP"
3,"Si, podrá adherirse nuevamente en cualquier momento.

Fuente: Art. 35 Decreto 1/10"
4,"En caso de exclusión, el contribuyente no podrá optar nuevamente por el monotributo hasta después de transcurridos 3 años calendarios posteriores al de sucedido el hecho.

Fuente: Art. 21 Ley 26.565"
5,"En caso de renuncia, el contribuyente no podrá optar nuevamente por el Monotributo hasta después de transcurridos 3 años calendario posteriores al de efectuada la renuncia, siempre que se produzca a fin de obtener el carácter de responsable inscripto frente al Impuesto al Valor Agregado (IVA) por la misma actividad.
Fuente: Art. 19 Ley 26.565"
6,"La solicitud respectiva, producirá efectos a partir del primer día del mes inmediato siguiente a aquél en que se efectuó.
Fuente: Art. 19 Ley 26.565 y art. 37 Decreto 1/10"
7,"La AFIP podrá disponer la baja automática ante la falta de ingreso del impuesto integrado y/o de las cotizaciones previsionales fijas, por un período de 10 meses consecutivos.

Dicha baja no impedirá el reingreso al monotributo, siempre que el sujeto previamente cancelela totalidad de las obligaciones adeudadas correspondientes a los 10 meses que dieron origen a la baja, y en su caso, todas aquellas de períodos anteriores no prescriptos, y acreditara el pago de las sanciones aplicadas en virtud del incumplimiento de deberes formales.
Una vez regularizada la situación, el alta al régimen no es automática, por lo que deberá realizar según corresponda lo siguiente:
- En caso de solicitar nuevamente el alta en el régimen a partir del período en curso, se deberá adherir nuevamente a través del portal ""Monotributo"" Si al intentar realizar la adhesión se visualiza la leyenda ""Registrás una baja de oficio en el Régimen por falta de pago (Dto 806/2004). A la fecha no se registran pagos que cancelen las obligaciones que dieron origen a la baja de oficio del régimen de Monotributo. Previo a solicitar la adhesión, deberás pagar la totalidad de la deuda. Una vez abonado este importe, tenés que aguardar 48 horas para intentar efectuar el alta nuevamente"" deberá seguir el procedimiento establecido en la consulta ID 12450717 a los efectos de continuar con el trámite.
- En caso de solicitar nuevamente el alta en el régimen a partir de un período anterior al que está en curso, se deberá adherir nuevamente a través del portal ""Monotributo"" y luego solicitar en la dependencia correspondiente la retroactividad de dicha adhesión.

Fuente: CIT AFIP"
8,"Desde el momento en que se produzca cualquiera de las causales de exclusión, los contribuyentes deben dar cumplimiento a sus obligaciones impositivas y de la Seguridad Social, por los respectivos regímenes generales.


Fuente: Art. 21 Ley 26.565"
9,"Tal cómputo es improcedente respecto al impuesto que le hubiera sido facturado como consecuencia de hechos imponibles anteriores a la fecha en que produzca efectos el cambio de condición frente al IVA.

Fuente: Art. 24 Ley 26.565"
